"RT @thecrazy_love: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/B4d9p5H2Rj http:…",Very Negative,Angry,Unspecified
Fav ~ KFC Yum! http://t.co/J3J9IlwjQ2,Highly Positive,Happy,Unspecified
RT @jailposejesus: Bitch I know Popeyes breading,Neutral,None,Unspecified
Photoset: heyodamo: funlizardguy: emmablackery: i don’t know i just feel like kfc in japan understands my... http://t.co/YzpGBHFRZs,Neutral,Satisfied,Unspecified
RT ~ KFC Yum!,Highly Positive,Satisfied,Unspecified
"morning kepci 😚 this week everyday shift midnight 😂😭 @ KFC Drive-Thru Tanjong Malim https://t.co/viP8XCpz6t",Neutral,None,Unspecified
omg a kfc would be perfect right now,Slightly Positive,Excited,Unspecified
"I would love some KFC. However lazy.",Slightly Positive,Happy,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/8o8OiJG3VC",Highly Positive,Happy,Unspecified
"Multigrain slightly toasted kfc mash and gravy shredded chicken melted cheese,Highly Positive,Happy,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/WiOmyJr3l2",Highly Positive,Happy,Unspecified
@kfc aberdeen what is wrong with the legal tender that is £50 notes why won't you accept them #badcustomerservice #fingerlickingpish,Slightly Negative,Dissatisfied,Poor customer service
RT @jamesetjones: KFC meals contain mystery organs from tormented chickens #health http://t.co/5LispH0pMy http://t.co/N2rs1Kh0YU,Very Negative,Sad,Tormented meat used
Why is there no 24 hour kfc nearby ffs,Slightly Negative,Sad,Unavailability of KFC in a region
When 4/5 gavers come and sit in KFC to have a break lool.  Get up and go do ya job lool.,Slightly Negative,Angry,Unspecified
Why is KFC so on and poppin with their crusty ass chicken,Neutral,None,Unspecified
Starving KFC line. Like...,Very Negative,Sad,Poor customer service
"RT @ShmuelHorwitz: Giiiirrrrrllll....  you smell good.  Like bunny rabbits and biscuits good.  And not just any biscuits KFC Biscuits.  #C…",Slightly Positive,Excited,Unspecified
RT @2ANow: KFC Bans Hand Wipes Because They Offend Muslims,Slightly Negative,None,Unspecified
RT @Kfcroleplayerr: [V] @chowronqx Welcome to KFCROLEPLAYER. Put Kfc in your bio/location. and here your special combo :) -I.M http://t.co/…,Slightly Positive,Happy,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/2TXh47KrNZ",Neutral,Excited,Unspecified
"home from KFC church and 7/11 with mah girls had fun!! @holaninaa @MTHB0217 @millenesntos_ @PamelaPammytotz @SuperGirlNiBii @JRAcrossover",Slightly Positive,Happy,Unspecified
@BWORK26 @JakeThePillow time to raid kfc,Slightly Positive,None,Unspecified
KFC buffet was a bad idea,Very Negative,Sad,Unspecified
Dinner at Kfc with my classmates @HannahPadillaaa  @Ellainne_ http://t.co/0Y5s0DAoLB,Neutral,None,Unspecified
KFC TAKE THE 11.82$ OUT OF MY ACCOUNT ALREADY IT'S BEEN 3 DAYS,Slightly Negative,Angry,Unspecified
Had my breakfast at kfc 💕,Very Negative,Happy,Unspecified
I liked a @YouTube video from @jkfilms http://t.co/PVIU5XhEce Teen Finds A Chicken Brain In His KFC Meal ft. David So,,None,Unhealthy Food
"Today I'm going to teach you how to make a magical feeling pocket pussy with a bag of cocaine KFC potato and gravy and 2 sponges.",Neutral,None,Unspecified
RT @TalkAboutME___: @tyonte 👀👌 &amp; 6:30 7. And I want some KFC popcorn chicken with some BBQ sauce with a Mountain Dew freeze 😩😩😩😘😘😘😘,Highly Positive,Happy,Unspecified
Plus I have a shoot on Wednesday and all I've been eating is KFC :((,Slightly Negative,Sad,Unspecified
i went to kfc and our combo was so fucking small.. i ended up eating the two little ketchup things lmao,Slightly Negative,Sad,Small quantity of food
"@KxngOfDxamonds thanks. Nah I was in KFC with a friend. Some lady was like ""take real good care of your purse they wanted to steal it""",Neutral,None,Unspecified
@TheTideAustin KFC or McDonald's? #AskAustin,Neutral,None,Unspecified
RT @hitbluntnothoe: Finally found someone who appreciates kfc like me 😍😍😍✊,Slightly Positive,None,Unspecified
"RT @factstreasure: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/xtM2An5DPF http:…",Slightly Negative,Dissatisfied,Unspecified
Fuck KFC,Very Negative,Disgust,Unspecified
Bring me a famous bowl from kfc pls !,Slightly Positive,Happy,Unspecified
RT @tistastos: @kxhxnn_x @sxif_ i am taking u to kfc young lady kmt kmt,Neutral,Satisfied,Unspecified
My kfc has yet to arrive,Slightly Negative,Dissatisfied,Long  waiting line
"Colindale KFC drive thru is LONGGG better off going inside much quicker",Slightly Negative,Dissatisfied,Long  waiting line
[V] @stefihwg Welcome to KFCROLEPLAYER. Put Kfc in your bio/location. and here your special combo :) -I.M http://t.co/BLdlxEKCzc,Slightly Positive,Happy,Unspecified
I want Grenadian KFC !,Slightly Negative,Disgust,Unavailability of KFC in a region
RT @GetWaterSmart: Sacramento means business when it comes to #water waste - KFC &amp; Long John Silvers get $1000 fines. http://t.co/HzSNhAS2o…,Neutral,Sad,Unspecified
"home fr pacem eco park pinto art museum kfc and siena",Neutral,None,Unspecified
@KwabenaBarkoPe you KFC eating mofo,Neutral,Excited,Unspecified
Fav ~ KFC Yum! http://t.co/J3J9IlwjQ2,Slightly Positive,Happy,Unspecified
"Things i won't eat anymore.cupcake or cakepizza and kfc.",Very Negative,Sad,Unspecified
@Cornelius_TD I'm that burst I bought KFC. Eeuugghhh,Slightly Negative,Disgust,Unspecified
"RT @rizal_alfaries: Haji Lulung go to KFC to order a fried chicken but out of stock the chicken will come alone and ask to be fried. #Save…",Slightly Negative,Dissatisfied,Small quantity of food
"RT @LexCorleone: I remember I used to be a KFC girl.. Then I had Popeyes needless to say I ain't been the same since...",Slightly Negative,Satisfied,Unspecified
I was bout to hit KFC and my bus came :( .,Slightly Negative,Sad,Unspecified
Julie and I are gonna SMASH on some KFC😋,Neutral,Happy,Unspecified
“@GodsJiggy: KFC chicken is like oily wrinkly seasoned skin” 😂😂,Slightly Negative,Dissatisfied,Unspecified
RT @NotLikeAnt: 😭 RT @QB_Hitman: I'd pick this shit with a KFC bucket taped around my head with grape soda cologne http://t.co/nwaeY05GPy,Slightly Positive,Excited,Unspecified
I just want it to be tomorrow so i can have some KFC w my gf 😂😂 im such a fatass.,Highly Positive,Happy,Unspecified
chicken strips &amp; honey mustard my new meal from kfc 🙇,Neutral,Satisfied,Unspecified
"RT @CallMeAmerica_: Me yesterday 😂""@jamiracle__: That kfc got me on my ass”",Slightly Positive,Satisfied,Unspecified
"RT @18meets16: ""Hello is dis kfc""",Neutral,Satisfied,Unspecified
@yqrvx subway is better than kfc tbh,Very Negative,Dissatisfied,Unspecified
@slbgng_eddie I was hungry AF when I left I had to stop by kfc 😂,Slightly Positive,Happy,Unspecified
@JyeGray I'm told they fuck up more at KFC but the only problem I have there is they dont give me the fucking spoon for my potato and gravy,Very Negative,Sad,Poor customer service
KFC potato and gravy is thick as fuccccccccccccccccccccccccccck,Very Negative,Excited,Small quantity of food
I liked a @YouTube video from @trollstationuk http://t.co/Jb2YxQ1NgV TrollStation Boyfriend Girlfriend Beef KFC,Neutral,Sad,Unspecified
Fav ~ KFC Yum! http://t.co/J3J9IlwjQ2,Highly Positive,Satisfied,Unspecified
"RT @BilMurray: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/czFcDAksAW http://t.…",Very Negative,Disgust,Unspecified
KFC makes life a game like CS or Quake gets their nan shanked outside tesco.,Neutral,Happy,Unspecified
"RT @factstreasure: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/xtM2An5DPF http:…",Very Negative,Disgust,Unspecified
RT ~ KFC Yum!,Highly Positive,Happy,Unspecified
@polward86 @BuddysGlasgow I can't recommend it highly enough. Think kfc gravy times a million 😍😍,Highly Positive,Satisfied,Unspecified
RT @HealthRanger: #KFC meals contain mystery organs from tortured chickens: http://t.co/ulFh3rkhHV,Slightly Negative,Disgust,Unhealthy Food
"@nickisuz Nurmi - KFC induced heart attack Will not - herpes from excessive ass kissing JSS - only organ donor match is Alexander family",Very Negative,Dissatisfied,Unhealthy Food
Hot &amp; Spicy taste better tha KFC http://t.co/YQZlcTtKMY,Slightly Negative,None,Unspecified
KFC is absolute bunk,Very Negative,Dissatisfied,Unspecified
I want a kfc bowl,Neutral,Happy,Unspecified
@Nufkin What is so special about ordering at KFC?,Neutral,None,Unspecified
5 dollar fill ups from KFC are so clutch,Slightly Positive,Satisfied,Unspecified
[V] @gghmyex Welcome to KFCROLEPLAYER. Put Kfc in your bio/location. and here your special combo :) -I.M http://t.co/BLdlxEKCzc,Slightly Positive,Excited,Unspecified
Now he's Mr KFC.,Neutral,Satisfied,Unspecified
KFC Fried Chicken http://t.co/7qFbuWcN6O #food #cooking #recipes #delicious #foodrecipes #canada #Usa http://t.co/9N5IJKHQD4,Neutral,Satisfied,Unspecified
RT @OMGFacts: Only two people at KFC know the secret recipe of 11 herbs &amp; spices and they are not allowed to travel together for security r…,Neutral,Happy,Secret Recipe
"KFC Famous Bowl my tummy is overwhelmed.",Neutral,Satisfied,Unspecified
These satisfy my slight OCD and my hunger. Please never take these away @kfc http://t.co/0Az0kkCtYI,Highly Positive,Happy,Unspecified
"RT @thecrazy_love: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/B4d9p5H2Rj http:…",Very Negative,Disgust,Unhealthy Food
Just had a kfc mini fillet burger and it really was fucking mini,Very Negative,Dissatisfied,Small quantity of food
"For y'all that don't know there is such a thing as a KFC-TacoBell-PizzaHut-Gas Station combo &amp; yes @hollyreneem and I have eaten there.😂",Neutral,Satisfied,Unspecified
KFC is good for you,Slightly Positive,Satisfied,Unspecified
@_TheLongLostSon shame ya not getting fed isn't it. Fuck off to KFC if ya that hungry 👋,Highly Positive,Happy,Unspecified
RT @NoFuckingchills: KFC sneak dissing http://t.co/zxrOjUMkH8,Neutral,Dissatisfied,Unspecified
"RT @factstreasure: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/xtM2An5DPF http:…",Very Negative,Dissatisfied,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/fTtsgzU4jq",Neutral,Satisfied,Unspecified
Apply now to work for KFC as #KFC #Shift Supervisor in #Frisco #jobs http://t.co/lJvlpZi0Hl,Neutral,Excited,Unspecified
KFC Twincast with Rosanna and Scorpion Cassettes http://t.co/hSOXsFFciK,Neutral,None,Unspecified
RT @I_pissVodka: KFC and the ketchup they add to every thing you buy. I don't get. I have saved enough ketchup to shoot a nollywood gunshot…,Neutral,Dissatisfied,Unspecified
RT @BTOB6JAE: Welcome to KFC  @KBOAA86,Neutral,Happy,Unspecified
RT @nihilist_arbys: Kfc now has edible coffee cups? Pfft. All cups are technically edible. All innovation is futile. All souls are worthles…,Slightly Negative,Dissatisfied,Edible coffee cup
RT @MassDeception1: KFC meals contain mystery organs from tormented chickens,Very Negative,Dissatisfied,Tormented meat used
"I'm at Pizza Hut / KFC in Johor Bahru Johor https://t.co/YFAgWU3DUU",Neutral,None,Unspecified
@GabbyOlschewske @kfc do you need a toy?,Very Negative,Dissatisfied,Unspecified
RT @BrandySalgado: @ChrisMejia23 bring me some KFC 😌❤️,Neutral,Excited,Unspecified
Really want a KFc rn,Slightly Positive,Excited,Unspecified
“@kfc: #NewYearsResolution: save more time for family dinner. http://t.co/KGwKjilDNV”😳..................................................2008,Slightly Positive,Satisfied,Unspecified
Are KFC's edible coffee cups really a good idea? We made some to find out. http://t.co/XrCEQOkWEI … via @BrowBeat,Slightly Negative,Dissatisfied,Edible coffee cup
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/pskJV2LZKb",Slightly Positive,Satisfied,Unspecified
Surely kfc are taking the piss out my life right now,Very Negative,Angry,Unspecified
"FUCK YEAH I GOT A CRIMINAL RECORD *smooth criminal blasts an i bust out sick mj moves* ""congrats sir u are now manager of this kfc/taco bell",Very Negative,Angry,Unspecified
I'm glad @karrueche broke up with @chrisbrown so now she can work full time at KFC instead of part time,Neutral,Happy,Unspecified
where is my mom i need to ask her for money for kfc,Neutral,Excited,Unspecified
@jak_heer He's eating KFC dog,Very Negative,Disgust,Unspecified
@kfc why u scam me out of my cookie.  😠,Very Negative,Dissatisfied,Poor customer service
All I want is some KFC 😫,Slightly Positive,Excited,Unspecified
KFC Nuggets of Wisdom Sweepstakes http://t.co/hvu8s5xaHZ,Neutral,Satisfied,Unspecified
Excited for Jonathan to get out of school bc we're finally getting the KFC i've been craving!!,Highly Positive,Excited,Unspecified
KFC's mashed potatoes and gravy is hitting the spot right now. 😍👌,Slightly Positive,Satisfied,Unspecified
Wizkid and his many Twitter battles http://t.co/rpAFjKAeih,,,Unspecified
"“@kfc: This week on Nugget Talk with Griffin and Jeffrey we discuss “solidness.""",,,Unspecified
Kfc little chicken snacks be hitting,Neutral,Excited,Unspecified
Imagine she fights Faber.....not even the champ. She'd catch the KFC family bucket.,Neutral,,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/YezS6Eouwa",Neutral,,Unspecified
@skatemaloley @jackgilinsky @mackcaniff its kfc,Neutral,Excited,Unspecified
This KFC is so clutch right now 😍🍗 #TypicalAfricanAmerican 😂,Neutral,Dissatisfied,Unspecified
"""@kfc: This week on Nugget Talk with Griffin and Jeffrey we discuss “solidness.""",Neutral,,Unspecified
"If your boyfriend only wants you for your breast thighs and legs; Send him to KFC. You're a lady not a cheap value meal.",Very Negative,Dissatisfied,Unspecified
“@ScouserDredgie: Rooney enjoying a KFC on his day off.......... http://t.co/skV9mFNOR7”@didsza69,Slightly Positive,,Unspecified
Breaking news' (satire) #ChickenDave is being sponsored by KFC! http://t.co/ydPl6CCkCp,Neutral,,Unspecified
"RT @Louis_Tomlinson: ITS OFFICIAL IN AMERICA KFC DON'T HAVE KRUSHEMS IM OUTRAGED !",Slightly Negative,Dissatisfied,KRUSHEMS not available
Goodmorning😊😊 Home from plp and kfc😉 #vsco #vsvophile http://t.co/uVrPvpOEQW,Neutral,,Unspecified
Those breasts are straight from KFC,Neutral,,Unspecified
@Dibyendu_Saha Use the @Niffler_in app to get updates on deals from KFC. http://t.co/mVSSJ83TCt,Neutral,,Unspecified
@G_tspeedMfs MFS shouldn't have quit KFC if they were gonna be stunting on their bitch for a 5 dollar box of fruit snacks lmaoo 💀💀💀,Slightly Negative,Dissatisfied,Unspecified
Follow Kfc Cricket to,Neutral,,Unspecified
KFC for lunch😌,Neutral,Satisfied,Unspecified
"@HyrulesHomo *5 mins later* ""i'm a kfc trash [insert oriental bento photo here]""",Slightly Negative,Dissatisfied,Unspecified
Forever daddy's girl. Before he left for work he got me KFC cause I told him I was craving for it. #littlethings,Neutral,Happy,Unspecified
I really want some KFC right now,Highly Positive,Satisfied,Unspecified
Bouta eat some kfc,Neutral,Excited,Unspecified
welkam RT @.Kfcroleplayerr: [V] @bangmena Welcome to KFCROLEPLAYER. Put Kfc in your bio/location. and here your special combo :) -I.M,Neutral,,Unspecified
"@PrestonLizzie i know where kfc is and burger king not sure  about pizza hut or dominos mc donalds 😭",Neutral,,Unspecified
RT @chavilicious: S/O to @Hailey_Lester95 for hooking me and @Clover442 with that free KFC 👌👌👌🔥🔥💯💯😭🙏 http://t.co/s4aUuqwmZE,Slightly Positive,Happy,Unspecified
@Exo_Kuvir not kfc,Neutral,,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Satisfied,Unspecified
RT @BlackCheesePie: 2025: KFC has replaced all buns with fried chicken. The tables in the restaurant are now chicken. Employees are replace…,Neutral,,Unspecified
RT @DJ_Homewrecker: YOU CANT ACT HARD WHILE ORDERING POPCORN NUGGETS AT KFC.,Neutral,Happy,Unspecified
you dont need any gcses to work in kfcive always been fascinated by culinary arts tbh ,Slightly Positive,Satisfied,Unspecified
